,change - 0 for no change; 1 for at least one sense/compound changed; 2 for dominant sense did not exist before 1900
impact,1
film,2
north,1
corn,1
december,0
january,0
spain,0
objectives,1
goals,1
patterns,1
approach,2
october,1
daughter,1
signal,2
programs,2
increase,0
model,2
sector,2
god,1
east,1
feet,0
focus,1
years,1
payment,1
miles,1
coast,1
door,1
quantity,0
mother,1
levels,1
june,0
island,1
century,1
morning,1
media,2
surface,1
river,1
computer,2
gap,1
perspective,1
november,0
days,1
pity,1
september,0
shift,1
brother,1
april,0
week,0
van,1
